name,attack,defense,cost,type,text
Battlefront Krushok,4,3,{4}{G},Creature - Beast,Battlefront Krushok can't be blocked by more than one creature . $Each creature you control with a +1/+1 counter on it can't be blocked by more than one creature .
"Dromoka, the Eternal",5,5,{3}{G}{W},Legendary Creature - Dragon,"Flying$Whenever a Dragon you control attacks , bolster 2 . < i > (Choose a creature with the least toughness among creatures you control and put two +1/+1 counters on it . ) < /i >"
Grave Strength,,,{1}{B},Sorcery,"Choose target creature . Put the top three cards of your library into your graveyard , then put a +1/+1 counter on that creature for each creature card in your graveyard ."
Map the Wastes,,,{2}{G},Sorcery,"Search your library for a basic land card , put it onto the battlefield tapped , then shuffle your library . Bolster 1 . < i > (Choose a creature with the least toughness among creatures you control and put a +1/+1 counter on it . ) < /i >"
Pilgrim of the Fires,4,6,{7},Artifact Creature - Golem,"First strike , trample"
Shaman of the Great Hunt,2,4,{3}{R},Creature - Orc Shaman,"Haste$Whenever a creature you control deals combat damage to a player , put a +1/+1 counter on it . $Ferocious - { 2}{GU}{GU }: Draw a card for each creature you control with power 4 or greater ."
Temur Runemark,,,{2}{G},Enchantment - Aura,Enchant creature$Enchanted creature gets +2/+2 . $Enchanted creature has trample as long as you control a blue or red permanent .
Yasova Dragonclaw,2,4,{2}{G},Legendary Creature - Human Warrior,"Trample$At the beginning of combat on your turn , you may pay { 1}{UR}{UR } . If you do , gain control of target creature an opponent controls with power less than Yasova Dragonclaw's power until end of turn , untap that creature , and it gains haste until end of turn ."
Bringer of the Green Dawn,5,5,{7}{G}{G},Creature - Bringer,"You may pay { W}{U}{B}{R}{G } rather than pay Bringer of the Green Dawn's mana cost . $Trample$At the beginning of your upkeep , you may put a 3/3 green Beast creature token onto the battlefield ."
Eternal Witness,1,2,{1}{G}{G},Creature - Human Shaman,"When Eternal Witness enters the battlefield , you may return target card from your graveyard to your hand ."
Horned Helm,,,{2},Artifact - Equipment,Equipped creature gets +1/+1 and has trample . ${G}{G }: Attach Horned Helm to target creature you control . $Equip { 1 } < i > ({1 }: Attach to target creature you control . Equip only as a sorcery . ) < /i >
Myr Quadropod,4,1,{4},Artifact Creature - Myr,{ 3 }: Switch Myr Quadropod's power and toughness until end of turn .
Serum Visions,,,{U},Sorcery,"Draw a card . $Scry 2 . < i > (To scry 2 , look at the top two cards of your library , then put any number of them on the bottom of your library and the rest on top in any order . ) < /i >"
Tyrranax,4,5,{4}{G}{G},Creature - Beast,{ 1}{G }: Tyrranax gets -1/+1 until end of turn .
Blight,,,{B}{B},Enchantment - Aura,"Enchant land$When enchanted land becomes tapped , destroy it ."
Feroz's Ban,,,{6},Artifact,Creature spells cost { 2 } more to cast .
Living Artifact,,,{G},Enchantment - Aura,"Enchant artifact$Whenever you're dealt damage , put that many vitality counters on Living Artifact . $At the beginning of your upkeep , you may remove a vitality counter from Living Artifact . If you do , you gain 1 life ."
Repentant Blacksmith,2,1,{1}{W},Creature - Human,Protection from red
War Mammoth,3,3,{3}{G},Creature - Elephant,Trample
Immolation,,,{R},Enchantment - Aura,Enchant creature$Enchanted creature gets +2/-2 .
Arcanum Wings,,,{1}{U},Enchantment - Aura,Enchant creature$Enchanted creature has flying . $Aura swap { 2}{U } < i > ({2}{U }: Exchange this Aura with an Aura card in your hand . ) < /i >
Cyclical Evolution,,,{3}{G}{G},Sorcery,"Target creature gets +3/+3 until end of turn . Exile Cyclical Evolution with three time counters on it . $Suspend 3-{2}{G } < i > (Rather than cast this card from your hand , you may pay { 2}{G } and exile it with three time counters on it . At the beginning of your upkeep , remove a time counter . When the last is removed , cast it without paying its mana cost . ) < /i >"
Henchfiend of Ukor,2,3,{3}{R},Creature - Ogre,"Haste$Echo { 1}{B } < i > (At the beginning of your upkeep , if this came under your control since the beginning of your last upkeep , sacrifice this permanent unless you pay its echo cost . ) < /i > ${BR }: Henchfiend of Ukor gets +1/+0 until end of turn ."
Magus of the Moat,3,0,{2}{W}{W},Creature - Human Wizard,Creatures without flying can't attack .
Saltskitter,4,3,{3}{W},Creature - Wurm,"Whenever another creature enters the battlefield , exile Saltskitter . Return Saltskitter to the battlefield under its owner's control at the beginning of the next end step ."
Thornweald Archer,1,2,{1}{G},Creature - Elf Archer,Reach < i > (This creature can block creatures with flying . ) < /i > $Deathtouch < i > (Any amount of damage this deals to a creature is enough to destroy it . ) < /i >
Angelic Edict,,,{4}{W},Sorcery,Exile target creature or enchantment .
Boros Keyrune,,,{3},Artifact,{ tap }: Add { R } or { W } to your mana pool . ${R}{W }: Boros Keyrune becomes a 1/1 red and white Soldier artifact creature with double strike until end of turn . < i > (It deals both first-strike and regular combat damage . ) < /i >
Deathpact Angel,5,5,{3}{W}{B}{B},Creature - Angel,"Flying$When Deathpact Angel dies , put a 1/1 white and black Cleric creature token onto the battlefield . It has "" { 3}{W}{B}{B } , { tap } , Sacrifice this creature : Return a card named Deathpact Angel from your graveyard to the battlefield . """
Experiment One,1,1,{G},Creature - Human Ooze,"Evolve < i > (Whenever a creature enters the battlefield under your control , if that creature has greater power or toughness than this creature , put a +1/+1 counter on this creature . ) < /i > $Remove two +1/+1 counters from Experiment One : Regenerate Experiment One ."
Grisly Spectacle,,,{2}{B}{B},Instant,Destroy target nonartifact creature . Its controller puts a number of cards equal to that creature's power from the top of his or her library into his or her graveyard .
Illness in the Ranks,,,{B},Enchantment,Creature tokens get -1/-1 .
Master Biomancer,4,2,{2}{G}{U},Creature - Elf Wizard,Each other creature you control enters the battlefield with a number of additional +1/+1 counters on it equal to Master Biomancer's power and as a Mutant in addition to its other types .
One Thousand Lashes,,,{2}{W}{B},Enchantment - Aura,"Enchant creature$Enchanted creature can't attack or block , and its activated abilities can't be activated . $At the beginning of the upkeep of enchanted creature's controller , that player loses 1 life ."
Rubblehulk,*,*,{4}{R}{G},Creature - Elemental,"Rubblehulk's power and toughness are each equal to the number of lands you control . $Bloodrush - { 1}{R}{G } , Discard Rubblehulk : Target attacking creature gets +X/+X until end of turn , where X is the number of lands you control ."
Simic Manipulator,1,0,{1}{U}{U},Creature - Mutant Wizard,"Evolve < i > (Whenever a creature enters the battlefield under your control , if that creature has greater power or toughness than this creature , put a +1/+1 counter on this creature . ) < /i > ${tap } , Remove one or more +1/+1 counters from Simic Manipulator : Gain control of target creature with power less than or equal to the number of +1/+1 counters removed this way ."
Thespian's Stage,,,,Land,"{ tap }: Add { C } to your mana pool . ${2 } , { tap }: Thespian's Stage becomes a copy of target land and gains this ability ."
Way of the Thief,,,{3}{U},Enchantment - Aura,Enchant creature$Enchanted creature gets +2/+2 . $Enchanted creature is unblockable as long as you control a Gate .
Cremate,,,{B},Instant,Exile target card from a graveyard . $Draw a card .
Gigadrowse,,,{U},Instant,"Replicate { U } < i > (When you cast this spell , copy it for each time you paid its replicate cost . You may choose new targets for the copies . ) < /i > $Tap target permanent ."
Leyline of Lifeforce,,,{2}{G}{G},Enchantment,"If Leyline of Lifeforce is in your opening hand , you may begin the game with it on the battlefield . $Creature spells can't be countered ."
Poisonbelly Ogre,3,3,{4}{B},Creature - Ogre Warrior,"Whenever another creature enters the battlefield , its controller loses 1 life ."
Skyrider Trainee,3,3,{4}{W},Creature - Human Soldier,Skyrider Trainee has flying as long as it's enchanted .
Vedalken Plotter,1,1,{2}{U},Creature - Vedalken Wizard,"When Vedalken Plotter enters the battlefield , exchange control of target land you control and target land an opponent controls ."
Aliban's Tower,,,{1}{R},Instant,Target blocking creature gets +3/+1 until end of turn .
Eron the Relentless,2,5,{3}{R}{R},Legendary Creature - Human Rogue,Haste${R}{R}{R }: Regenerate Eron the Relentless .
Root Spider,2,2,{3}{G},Creature - Spider,"Whenever Root Spider blocks , it gets +1/+0 and gains first strike until end of turn ."
Balduvian Bears,2,2,{1}{G},Creature - Bear,
Elder Druid,2,2,{3}{G},Creature - Elf Cleric Druid,"{ 3}{G } , { tap }: You may tap or untap target artifact , creature , or land ."
Hecatomb,,,{1}{B}{B},Enchantment,"When Hecatomb enters the battlefield , sacrifice Hecatomb unless you sacrifice four creatures . $Tap an untapped Swamp you control : Hecatomb deals 1 damage to target creature or player ."
Lhurgoyf,1+*,*,{2}{G}{G},Creature - Lhurgoyf,Lhurgoyf's power is equal to the number of creature cards in all graveyards and its toughness is equal to that number plus 1 .
Pyknite,1,1,{2}{G},Creature - Ouphe,"When Pyknite enters the battlefield , draw a card at the beginning of the next turn's upkeep ."
Songs of the Damned,,,{B},Instant,Add { B } to your mana pool for each creature card in your graveyard .
Whiteout,,,{1}{G},Instant,All creatures lose flying until end of turn . $Sacrifice a snow land : Return Whiteout from your graveyard to your hand .
Ashmouth Hound,1,2,{1}{R},Creature - Elemental Hound,"Whenever Ashmouth Hound blocks or becomes blocked by a creature , Ashmouth Hound deals 1 damage to that creature ."
Cackling Counterpart,,,{1}{U}{U},Instant,Put a token onto the battlefield that's a copy of target creature you control . $Flashback { 5}{U}{U } < i > (You may cast this card from your graveyard for its flashback cost . Then exile it . ) < /i >
Curse of the Nightly Hunt,,,{2}{R},Enchantment - Aura Curse,Enchant player$Creatures enchanted player controls attack each turn if able .
Endless Ranks of the Dead,,,{2}{B}{B},Enchantment,"At the beginning of your upkeep , put X 2/2 black Zombie creature tokens onto the battlefield , where X is half the number of Zombies you control , rounded down ."
Gavony Township,,,,Land,"{ tap }: Add { C } to your mana pool . ${2}{G}{W } , { tap }: Put a +1/+1 counter on each creature you control ."
Hanweir Watchkeep,5,1,{2}{R},Creature - Human Warrior Werewolf,"Defender$At the beginning of each upkeep , if no spells were cast last turn , transform Hanweir Watchkeep ."
Kessig Wolf,1,3,{2}{R},Creature - Wolf,{ 1}{R }: Kessig Wolf gains first strike until end of turn .
Maw of the Mire,,,{4}{B},Sorcery,Destroy target land . You gain 4 life .
Nightbird's Clutches,,,{1}{R},Sorcery,Up to two target creatures can't block this turn . $Flashback { 3}{R } < i > (You may cast this card from your graveyard for its flashback cost . Then exile it . ) < /i >
Reckless Waif,1,1,{R},Creature - Human Rogue Werewolf,"At the beginning of each upkeep , if no spells were cast last turn , transform Reckless Waif ."
Skirsdag Cultist,2,2,{2}{R}{R},Creature - Human Shaman,"{ R } , { tap } , Sacrifice a creature : Skirsdag Cultist deals 2 damage to target creature or player ."
Sulfur Falls,,,,Land,Sulfur Falls enters the battlefield tapped unless you control an Island or a Mountain . ${tap }: Add { U } or { R } to your mana pool .
Unruly Mob,1,1,{1}{W},Creature - Human,"Whenever another creature you control dies , put a +1/+1 counter on Unruly Mob ."
Alloy Golem,4,4,{6},Artifact Creature - Golem,"As Alloy Golem enters the battlefield , choose a color . $Alloy Golem is the chosen color . < i>(It's still an artifact . ) < /i >"
Blurred Mongoose,1,2,{1}{G},Creature - Mongoose,Blurred Mongoose can't be countered . $Shroud < i > (This permanent can't be the target of spells or abilities . ) < /i >
Devouring Strossus,9,9,{5}{B}{B}{B},Creature - Horror,"Flying , trample$At the beginning of your upkeep , sacrifice a creature . $Sacrifice a creature : Regenerate Devouring Strossus ."
Geothermal Crevice,,,,Land,"Geothermal Crevice enters the battlefield tapped . ${tap }: Add { R } to your mana pool . ${tap } , Sacrifice Geothermal Crevice : Add { B}{G } to your mana pool ."
Kavu Titan,2,2,{1}{G},Creature - Kavu,"Kicker { 2}{G } < i > (You may pay an additional { 2}{G } as you cast this spell . ) < /i > $If Kavu Titan was kicked , it enters the battlefield with three +1/+1 counters on it and with trample ."
Opt,,,{U},Instant,Look at the top card of your library . You may put that card on the bottom of your library . $$Draw a card .
Raging Kavu,1,3,{1}{R}{G},Creature - Kavu,Flash$Haste
Savage Offensive,,,{1}{R},Sorcery,"Kicker { G } < i > (You may pay an additional { G } as you cast this spell . ) < /i > $Creatures you control gain first strike until end of turn . If Savage Offensive was kicked , they get +1/+1 until end of turn ."
Spirit of Resistance,,,{2}{W},Enchantment,"As long as you control a permanent of each color , prevent all damage that would be dealt to you ."
Tidal Visionary,1,1,{U},Creature - Merfolk Wizard,{ tap }: Target creature becomes the color of your choice until end of turn .
Urborg Skeleton,1,0,{B},Creature - Skeleton,"Kicker { 3 } < i > (You may pay an additional { 3 } as you cast this spell . ) < /i > ${B }: Regenerate Urborg Skeleton . $If Urborg Skeleton was kicked , it enters the battlefield with a +1/+1 counter on it ."
Winnow,,,{1}{W},Instant,Destroy target nonland permanent if another permanent with the same name is on the battlefield . $Draw a card .
Body Double,0,0,{4}{U},Creature - Shapeshifter,You may have Body Double enter the battlefield as a copy of any creature card in a graveyard .
Bearer of the Heavens,10,10,{7}{R},Creature - Giant,"When Bearer of the Heavens dies , destroy all permanents at the beginning of the next end step ."
Dictate of Erebos,,,{3}{B}{B},Enchantment,"Flash$Whenever a creature you control dies , each opponent sacrifices a creature ."
Font of Ire,,,{1}{R},Enchantment,"{ 3}{R } , Sacrifice Font of Ire : Font of Ire deals 5 damage to target player ."
Hypnotic Siren,1,1,{U},Enchantment Creature - Siren,"Bestow { 5}{U}{U } < i > (If you cast this card for its bestow cost , it's an Aura spell with enchant creature . It becomes a creature again if it's not attached to a creature . ) < /i > $Flying$You control enchanted creature . $Enchanted creature gets +1/+1 and has flying ."
Nightmarish End,,,{2}{B},Instant,"Target creature gets -X/-X until end of turn , where X is the number of cards in your hand ."
Returned Reveler,3,1,{1}{B},Creature - Zombie Satyr,"When Returned Reveler dies , each player puts the top three cards of his or her library into his or her graveyard ."
Skyspear Cavalry,2,2,{3}{W}{W},Creature - Human Soldier,Flying$Double strike < i > (This creature deals both first-strike and regular combat damage . ) < /i >
Triton Cavalry,4,2,{3}{U},Creature - Merfolk Soldier,"Heroic - Whenever you cast a spell that targets Triton Cavalry , you may return target enchantment to its owner's hand ."
Browbeat,,,{2}{R},Sorcery,"Any player may have Browbeat deal 5 damage to him or her . If no one does , target player draws three cards ."
Flash of Insight,,,{X}{1}{U},Instant,"Look at the top X cards of your library . Put one of them into your hand and the rest on the bottom of your library in any order . $Flashback-{1}{U } , Exile X blue cards from your graveyard . < i > (You may cast this card from your graveyard for its flashback cost , then exile it . You can't exile Flash of Insight to pay for its own flashback cost . ) < /i >"
Living Wish,,,{1}{G},Sorcery,"You may choose a creature or land card you own from outside the game , reveal that card , and put it into your hand . Exile Living Wish ."
Swelter,,,{3}{R},Sorcery,Swelter deals 2 damage to each of two target creatures .
Ainok Bond-Kin,1,2,{1}{W},Creature - Hound Soldier,"Outlast { 1}{W } < i > ({1}{W } , { tap }: Put a +1/+1 counter on this creature . Outlast only as a sorcery . ) < /i > $Each creature you control with a +1/+1 counter on it has first strike ."
Bloodfire Expert,1,3,{2}{R},Creature - Efreet Monk,"Prowess < i > (Whenever you cast a noncreature spell , this creature gets +1/+1 until end of turn . ) < /i >"
Defiant Strike,,,{W},Instant,Target creature gets +1/+0 until end of turn . $Draw a card .
Flying Crane Technique,,,{3}{U}{R}{W},Instant,Untap all creatures you control . They gain flying and double strike until end of turn .
Icefeather Aven,2,2,{G}{U},Creature - Bird Shaman,"Flying$Morph { 1}{G}{U } < i > (You may cast this card face down as a 2/2 creature for { 3 } . Turn it face up any time for its morph cost . ) < /i > $When Icefeather Aven is turned face up , you may return another target creature to its owner's hand ."
Lens of Clarity,,,{1},Artifact,You may look at the top card of your library and at face-down creatures you don't control . < i > (You may do this at any time . ) < /i >
Monastery Flock,5,0,{2}{U},Creature - Bird,"Defender , flying$Morph { U } < i > (You may cast this card face down as a 2/2 creature for { 3 } . Turn it face up any time for its morph cost . ) < /i >"
Rite of the Serpent,,,{4}{B}{B},Sorcery,"Destroy target creature . If that creature had a +1/+1 counter on it , put a 1/1 green Snake creature token onto the battlefield ."
Secret Plans,,,{G}{U},Enchantment,"Face-down creatures you control get +0/+1 . $Whenever a permanent you control is turned face up , draw a card ."
Summit Prowler,3,4,{2}{R}{R},Creature - Yeti,
Trap Essence,,,{G}{U}{R},Instant,Counter target creature spell . Put two +1/+1 counters on up to one target creature .
Winterflame,,,{1}{U}{R},Instant,Choose one or both -$ Tap target creature . $ Winterflame deals 2 damage to target creature .
Amrou Kithkin,1,1,{W}{W},Creature - Kithkin,Amrou Kithkin can't be blocked by creatures with power 3 or greater .
Flash Flood,,,{U},Instant,Choose one - Destroy target red permanent ; or return target Mountain to its owner's hand .
Kobolds of Kher Keep,1,0,{0},Creature - Kobold,
Relic Barrier,,,{2},Artifact,{ tap }: Tap target artifact .
Transmutation,,,{1}{B},Instant,Switch target creature's power and toughness until end of turn .
Canopy Crawler,2,2,{3}{G},Creature - Beast,"Amplify 1 < i > (As this creature enters the battlefield , put a +1/+1 counter on it for each Beast card you reveal in your hand . ) < /i > ${tap }: Target creature gets +1/+1 until end of turn for each +1/+1 counter on Canopy Crawler ."
Glowrider,1,2,{2}{W},Creature - Human Cleric,Noncreature spells cost { 1 } more to cast .
Nantuko Vigilante,2,3,{3}{G},Creature - Insect Druid Mutant,"Morph { 1}{G } < i > You may cast this card face downn as a 2/2 creature for { 3 } . Turn it face up any time for its morph cost . ) < /i > $When Nantuko Vigilante is turned face up , destroy target artifact or enchantment ."
Swooping Talon,6,2,{4}{W}{W},Creature - Bird Soldier,"Flying${1 }: Swooping Talon loses flying until end of turn . $Provoke < i > (When this attacks , you may have target creature defending player controls untap and block it if able . ) < /i >"
Berserk,,,{G},Instant,"Cast Berserk only before the combat damage step . $Target creature gains trample and gets +X/+0 until end of turn , where X is its power . At the beginning of the next end step , destroy that creature if it attacked this turn ."
Drain Life,,,{X}{1}{B},Sorcery,"Spend only black mana on X . $Drain Life deals X damage to target creature or player . You gain life equal to the damage dealt , but not more life than the player's life total before Drain Life dealt damage or the creature's toughness ."
Living Lands,,,{3}{G},Enchantment,All Forests are 1/1 creatures that are still lands .
Red Elemental Blast,,,{R},Instant,Choose one - Counter target blue spell ; or destroy target blue permanent .
Tundra,,,,Land - Plains Island,
Ancient Amphitheater,,,,Land,"As Ancient Amphitheater enters the battlefield , you may reveal a Giant card from your hand . If you don't , Ancient Amphitheater enters the battlefield tapped . ${tap }: Add { R } or { W } to your mana pool ."
"Brigid, Hero of Kinsbaile",3,2,{2}{W}{W},Legendary Creature - Kithkin Archer,"First strike${tap }: Brigid , Hero of Kinsbaile deals 2 damage to each attacking or blocking creature target player controls ."
"Doran, the Siege Tower",5,0,{B}{G}{W},Legendary Creature - Treefolk Shaman,Each creature assigns combat damage equal to its toughness rather than its power .
Final Revels,,,{4}{B},Sorcery,Choose one - All creatures get +2/+0 until end of turn ; or all creatures get -0/-2 until end of turn .
Harpoon Sniper,2,2,{2}{W},Creature - Merfolk Archer,"{ W } , { tap }: Harpoon Sniper deals X damage to target attacking or blocking creature , where X is the number of Merfolk you control ."
Kinsbaile Skirmisher,2,2,{1}{W},Creature - Kithkin Soldier,"When Kinsbaile Skirmisher enters the battlefield , target creature gets +1/+1 until end of turn ."
Mudbutton Torchrunner,1,1,{2}{R},Creature - Goblin Warrior,"When Mudbutton Torchrunner dies , it deals 3 damage to target creature or player ."
Rootgrapple,,,{4}{G},Tribal Instant - Treefolk,"Destroy target noncreature permanent . If you control a Treefolk , draw a card ."
Streambed Aquitects,3,2,{1}{U}{U},Creature - Merfolk Scout,{ tap }: Target Merfolk creature gets +1/+1 and gains islandwalk until end of turn . ${tap }: Target land becomes an Island until end of turn .
Vivid Marsh,,,,Land,"Vivid Marsh enters the battlefield tapped with two charge counters on it . ${tap }: Add { B } to your mana pool . ${tap } , Remove a charge counter from Vivid Marsh : Add one mana of any color to your mana pool ."
Air Elemental,4,4,{3}{U}{U},Creature - Elemental,Flying
Centaur Courser,3,3,{2}{G},Creature - Centaur Warrior,
Earthquake,,,{X}{R},Sorcery,Earthquake deals X damage to each creature without flying and each player .
Griffin Sentinel,3,1,{2}{W},Creature - Griffin,Flying$Vigilance < i > (Attacking doesn't cause this creature to tap . ) < /i >
Kelinore Bat,1,2,{2}{B},Creature - Bat,Flying
Negate,,,{1}{U},Instant,Counter target noncreature spell .
Sage Owl,1,1,{1}{U},Creature - Bird,"Flying$When Sage Owl enters the battlefield , look at the top four cards of your library , then put them back in any order ."
Tempest of Light,,,{2}{W},Instant,Destroy all enchantments .
Wind Drake,2,2,{2}{U},Creature - Drake,Flying
Blood Tithe,,,{3}{B},Sorcery,Each opponent loses 3 life . You gain life equal to the life lost this way .
Duskdale Wurm,7,7,{5}{G}{G},Creature - Wurm,"Trample < i > (If this creature would assign enough damage to its blockers to destroy them , you may have it assign the rest of its damage to defending player or planeswalker . ) < /i >"
Hunters' Feast,,,{3}{G},Sorcery,Any number of target players each gain 6 life .
Merfolk Spy,1,1,{U},Creature - Merfolk Rogue,"Islandwalk < i > (This creature is unblockable as long as defending player controls an Island . ) < /i > $Whenever Merfolk Spy deals combat damage to a player , that player reveals a card at random from his or her hand ."
Reverberate,,,{R}{R},Instant,Copy target instant or sorcery spell . You may choose new targets for the copy .
Triskelion,1,1,{6},Artifact Creature - Construct,Triskelion enters the battlefield with three +1/+1 counters on it . $Remove a +1/+1 counter from Triskelion : Triskelion deals 1 damage to target creature or player .
Armored Warhorse,3,2,{W}{W},Creature - Horse,
Crumbling Colossus,4,7,{5},Artifact Creature - Golem,"Trample < i > (If this creature would assign enough damage to its blockers to destroy them , you may have it assign the rest of its damage to defending player or planeswalker . ) < /i > $When Crumbling Colossus attacks , sacrifice it at end of combat ."
Goblin Fireslinger,1,1,{R},Creature - Goblin Warrior,{ tap }: Goblin Fireslinger deals 1 damage to target player .
Merfolk Looter,1,1,{1}{U},Creature - Merfolk Rogue,"{ tap }: Draw a card , then discard a card ."
Skywinder Drake,1,3,{2}{U},Creature - Drake,Flying$Skywinder Drake can block only creatures with flying .
Titanic Growth,,,{1}{G},Instant,Target creature gets +4/+4 until end of turn .
Attended Knight,2,2,{2}{W},Creature - Human Knight,"First strike < i > (This creature deals combat damage before creatures without first strike . ) < /i > $When Attended Knight enters the battlefield , put a 1/1 white Soldier creature token onto the battlefield ."
Disciple of Bolas,1,2,{3}{B},Creature - Human Wizard,"When Disciple of Bolas enters the battlefield , sacrifice another creature . You gain X life and draw X cards , where X is that creature's power ."
Guardian Lions,6,1,{4}{W},Creature - Cat,Vigilance < i > (Attacking doesn't cause this creature to tap . ) < /i >
Mutilate,,,{2}{B}{B},Sorcery,All creatures get -1/-1 until end of turn for each Swamp you control .
Rummaging Goblin,1,1,{2}{R},Creature - Goblin Rogue,"{ tap } , Discard a card : Draw a card ."
Touch of the Eternal,,,{5}{W}{W},Enchantment,"At the beginning of your upkeep , count the number of permanents you control . Your life total becomes that number ."
Angelic Accord,,,{3}{W},Enchantment,"At the beginning of each end step , if you gained 4 or more life this turn , put a 4/4 white Angel creature token with flying onto the battlefield ."
Dark Prophecy,,,{B}{B}{B},Enchantment,"Whenever a creature you control dies , you draw a card and lose 1 life ."
Grim Return,,,{2}{B},Instant,Choose target creature card in a graveyard that was put there from the battlefield this turn . Put that card onto the battlefield under your control .
Mindsparker,2,3,{1}{R}{R},Creature - Elemental,"First strike$Whenever an opponent casts a white or blue instant or sorcery spell , Mindsparker deals 2 damage to that player ."
Shadowborn Apostle,1,1,{B},Creature - Human Cleric,"A deck can have any number of cards named Shadowborn Apostle . ${B } , Sacrifice six creatures named Shadowborn Apostle : Search your library for a Demon creature and put it onto the battlefield . Then shuffle your library ."
Vampire Warlord,2,4,{4}{B},Creature - Vampire Warrior,Sacrifice another creature : Regenerate Vampire Warlord .
Belligerent Sliver,2,2,{2}{R},Creature - Sliver,"Sliver creatures you control have "" This creature can't be blocked except by two or more creatures . """
Endless Obedience,,,{4}{B}{B},Sorcery,Convoke$Put target creature card from a graveyard onto the battlefield under your control .
Hot Soup,,,{1},Artifact - Equipment,"Equipped creature can't be blocked . $Whenever equipped creature is dealt damage , destroy it . $Equip { 3 }"
Meditation Puzzle,,,{3}{W}{W},Instant,Convoke$You gain 8 life .
Perilous Vault,,,{4},Artifact,"{ 5 } , { T } , Exile Perilous Vault : Exile all nonland permanents ."
Shield of the Avatar,,,{1},Artifact - Equipment,"If a source would deal damage to equipped creature , prevent X of that damage , where X is the number of creatures you control . $Equip { 2 }"
Ulcerate,,,{B},Instant,Target creature gets -3/-3 until end of turn . You lose 3 life .
Alhammarret's Archive,,,{5},Legendary Artifact,"If you would gain life , you gain twice that much life instead . $If you would draw a card except the first one you draw in each of your draw steps , draw two cards instead ."
"Chandra, Roaring Flame",,,,Planeswalker - Chandra,"+1 : Chandra , Roaring Flame deals 2 damage to target player . $-2 : Chandra , Roaring Flame deals 2 damage to target creature . $-7 : Chandra , Roaring Flame deals 6 damage to each opponent . Each player dealt damage this way gets an emblem with "" At the beginning of your upkeep , this emblem deals 3 damage to you . """
Elemental Bond,,,{2}{G},Enchantment,"Whenever a creature with power 3 or greater enters the battlefield under your control , draw a card ."
Gideon's Phalanx,,,{5}{W}{W},Instant,"Put four 2/2 white Knight creature tokens with vigilance onto the battlefield . $ < i > Spell mastery < /i > - If there are two or more instant and/or sorcery cards in your graveyard , creatures you control gain indestructible until end of turn ."
Infinite Obliteration,,,{1}{B}{B},Sorcery,"Name a creature card . Search target opponent's graveyard , hand , and library for any number of cards with that name and exile them . Then that player shuffles his or her library ."
Magmatic Insight,,,{R},Sorcery,"As an additional cost to cast Magmatic Insight , discard a land card . $Draw two cards ."
Priest of the Blood Rite,2,2,{3}{B}{B},Creature - Human Cleric,"When Priest of the Blood Rite enters the battlefield , put a 5/5 black Demon creature token with flying onto the battlefield . $At the beginning of your upkeep , you lose 2 life ."
Sigil of Valor,,,{2},Artifact - Equipment,"Whenever equipped creature attacks alone , it gets +1/+1 until end of turn for each other creature you control . $Equip { 1 }"
Topan Freeblade,2,2,{1}{W},Creature - Human Soldier,"Vigilance$Renown 1 < i > (When this creature deals combat damage to a player , if it isn't renowned , put a +1/+1 counter on it and it becomes renowned . ) < /i >"
Powder Keg,,,{2},Artifact,"At the beginning of your upkeep , you may put a fuse counter on Powder Keg . ${T } , Sacrifice Powder Keg : Destroy each artifact and creature with converted mana cost equal to the number of fuse counters on Powder Keg ."
Spectral Bears,3,3,{1}{G},Creature - Bear Spirit,"Whenever Spectral Bears attacks , if defending player controls no black nontoken permanents , it doesn't untap during your next untap step ."
Errantry,,,{1}{R},Enchantment - Aura,Enchant creature$Enchanted creature gets +3/+0 and can only attack alone .
Storm Spirit,3,3,{3}{G}{W}{U},Creature - Elemental Spirit,Flying${tap }: Storm Spirit deals 2 damage to target creature .
Fire Sprites,1,1,{1}{G},Creature - Faerie,"Flying${G } , { tap }: Add { R } to your mana pool ."
"Sun Ce, Young Conquerer",3,3,{3}{U}{U},Legendary Creature - Human Soldier,"Horsemanship < i > (This creature can't be blocked except by creatures with horsemanship . ) < /i > $When Sun Ce , Young Conquerer enters the battlefield , you may return target creature to its owner's hand ."
Gorilla War Cry,,,{1}{R},Instant,Cast Gorilla War Cry only during combat before blockers are declared . $Creatures can't be blocked this turn except by two or more creatures . $Draw a card at the beginning of the next turn's upkeep .
Windseeker Centaur,2,2,{1}{R}{R},Creature - Centaur,Vigilance
Caustic Wasps,1,1,{2}{G},Creature - Insect,"Flying$Whenever Caustic Wasps deals combat damage to a player , you may destroy target artifact that player controls ."
Deepwood Drummer,1,1,{1}{G},Creature - Human Spellshaper,"{ G } , { tap } , Discard a card : Target creature gets +2/+2 until end of turn ."
Giant Caterpillar,3,3,{3}{G},Creature - Insect,"{ G } , Sacrifice Giant Caterpillar : Put a 1/1 green Insect creature token with flying named Butterfly onto the battlefield at the beginning of the next end step ."
Kyren Legate,1,1,{1}{R},Creature - Goblin,"Haste$If an opponent controls a Plains and you control a Mountain , you may cast Kyren Legate without paying its mana cost ."
Nightwind Glider,1,2,{2}{W},Creature - Human Rebel,"Flying , protection from black"
Rishadan Airship,1,3,{2}{U},Creature - Human Pirate,Flying$Rishadan Airship can block only creatures with flying .
