,name,text
755,Alchemist's Greeting,"Alchemist's Greeting deals 4 damage to target creature.
Madness {1}{R} (If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)"
756,Avacyn's Judgment,"Madness {X}{R} (If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)
Avacyn's Judgment deals 2 damage divided as you choose among any number of targets. If this spell's madness cost was paid, it deals X damage divided as you choose among those permanents and/or players instead."
757,Devil's Play,"Devil's Play deals X damage to any target.
Flashback {X}{R}{R}{R} (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
758,Malevolent Whispers,"Gain control of target creature until end of turn. Untap that creature. It gets +2/+0 and gains haste until end of turn.
Madness {3}{R} (If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)"
759,Rolling Temblor,"Rolling Temblor deals 2 damage to each creature without flying.
Flashback {4}{R}{R} (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
760,Urban Evolution,Draw three cards. You may play an additional land this turn.
761,Dismantling Wave,"For each opponent, destroy up to one target artifact or enchantment that player controls.
Cycling {6}{W}{W} ({6}{W}{W}, Discard this card: Draw a card.)
When you cycle Dismantling Wave, destroy all artifacts and enchantments."
762,Dredge the Mire,Each opponent chooses a creature card in their graveyard. Put those cards onto the battlefield under your control.
763,Selective Adaptation,"Reveal the top seven cards of your library. Choose from among them a card with flying, a card with first strike, and so on for double strike, deathtouch, haste, hexproof, indestructible, lifelink, menace, reach, trample, and vigilance. Put one of the chosen cards onto the battlefield, the other chosen cards into your hand, and the rest into your graveyard."
764,Citywide Bust,Destroy all creatures with toughness 4 or greater.
765,Cleansing Nova,"Choose one —
• Destroy all creatures.
• Destroy all artifacts and enchantments."
766,Descend upon the Sinful,"Exile all creatures.
Delirium — Create a 4/4 white Angel creature token with flying if there are four or more card types among cards in your graveyard."
767,Mind Spring,Draw X cards.
768,Ever After,Return up to two target creature cards from your graveyard to the battlefield. Each of those creatures is a black Zombie in addition to its other colors and types. Put Ever After on the bottom of its owner's library.
769,Animist's Awakening,"Reveal the top X cards of your library. Put all land cards from among them onto the battlefield tapped and the rest on the bottom of your library in a random order.
Spell mastery — If there are two or more instant and/or sorcery cards in your graveyard, untap those lands."
770,Find // Finality,Return up to two target creature cards from your graveyard to your hand.
771,Excavation Technique,"Demonstrate (When you cast this spell, you may copy it. If you do, choose an opponent to also copy it. Players may choose new targets for their copies.)
Destroy target nonland permanent. Its controller creates two Treasure tokens."
772,Promise of Loyalty,Each player puts a vow counter on a creature they control and sacrifices the rest. Each of those creatures can't attack you or planeswalkers you control for as long as it has a vow counter on it.
773,Inspiring Refrain,"Draw two cards. Exile Inspiring Refrain with three time counters on it.
Suspend 3—{2}{U} (Rather than cast this card from your hand, you may pay {2}{U} and exile it with three time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, cast it without paying its mana cost.)"
774,Muse Vortex,Exile the top X cards of your library. You may cast an instant or sorcery spell with mana value X or less from among them without paying its mana cost. Then put the exiled instant and sorcery cards that weren't cast this way into your hand and the rest on the bottom of your library in a random order.
775,Replication Technique,"Demonstrate (When you cast this spell, you may copy it. If you do, choose an opponent to also copy it. Players may choose new targets for their copies.)
Create a token that's a copy of target permanent you control."
776,Essence Pulse,"You gain 2 life. Each creature gets -X/-X until end of turn, where X is the amount of life you gained this turn."
777,Incarnation Technique,"Demonstrate (When you cast this spell, you may copy it. If you do, choose an opponent to also copy it.)
Mill five cards, then return a creature card from your graveyard to the battlefield."
778,Creative Technique,"Demonstrate (When you cast this spell, you may copy it. If you do, choose an opponent to also copy it.)
Shuffle your library, then reveal cards from the top of it until you reveal a nonland card. Exile that card and put the rest on the bottom of your library in a random order. You may cast the exiled card without paying its mana cost."
779,Fiery Encore,"Discard a card, then draw a card. When you discard a nonland card this way, Fiery Encore deals damage equal to that card's mana value to target creature or planeswalker.
Storm (When you cast this spell, copy it for each spell cast before it this turn.)"
780,Rousing Refrain,"Add {R} for each card in target opponent's hand. Until end of turn, you don't lose this mana as steps and phases end. Exile Rousing Refrain with three time counters on it.
Suspend 3—{1}{R} (Rather than cast this card from your hand, you may pay {1}{R} and exile it with three time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, cast it without paying its mana cost.)"
781,Surge to Victory,"Exile target instant or sorcery card from your graveyard. Creatures you control get +X/+0 until end of turn, where X is that card's mana value. Whenever a creature you control deals combat damage to a player this turn, copy the exiled card. You may cast the copy without paying its mana cost."
782,Healing Technique,"Demonstrate (When you cast this spell, you may copy it. If you do, choose an opponent to also copy it. Players may choose new targets for their copies.)
Return target card from your graveyard to your hand. You gain life equal to that card's mana value. Exile Healing Technique."
783,Pest Infestation,"Destroy up to X target artifacts and/or enchantments. Create twice X 1/1 black and green Pest creature tokens with ""When this creature dies, you gain 1 life."""
784,Oversimplify,Exile all creatures. Each player creates a 0/0 green and blue Fractal creature token and puts a number of +1/+1 counters on it equal to the total power of creatures they controlled that were exiled this way.
785,Revival Experiment,"For each permanent type, return up to one card of that type from your graveyard to the battlefield. You lose 3 life for each card returned this way. Exile Revival Experiment."
786,Wake the Past,Return all artifact cards from your graveyard to the battlefield. They gain haste until end of turn.
787,Tragic Arrogance,"For each player, you choose from among the permanents that player controls an artifact, a creature, an enchantment, and a planeswalker. Then each player sacrifices all other nonland permanents they control."
788,Curse of the Swine,"Exile X target creatures. For each creature exiled this way, its controller creates a 2/2 green Boar creature token."
789,Mind's Desire,"Shuffle your library. Then exile the top card of your library. Until end of turn, you may play that card without paying its mana cost.
Storm (When you cast this spell, copy it for each spell cast before it this turn.)"
790,Feed the Swarm,Destroy target creature or enchantment an opponent controls. You lose life equal to that permanent's mana value.
791,Taste of Death,"Each player sacrifices three creatures. You create three Food tokens. (They're artifacts with ""{2}, {T}, Sacrifice this artifact: You gain 3 life."")"
792,Brass's Bounty,"For each land you control, create a Treasure token. (It's an artifact with ""{T}, Sacrifice this artifact: Add one mana of any color."")"
793,Nissa's Expedition,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
Search your library for up to two basic land cards, put them onto the battlefield tapped, then shuffle."
794,Incubation // Incongruity,Look at the top five cards of your library. You may reveal a creature card from among them and put it into your hand. Put the rest on the bottom of your library in a random order.
795,Cut the Tethers,"For each Spirit, return it to its owner's hand unless that player pays {3}."
796,Struggle for Sanity,"Target opponent reveals their hand. That player exiles a card from it, then you exile a card from it. Repeat this process until all cards in that hand have been exiled. That player returns the cards they exiled this way to their hand and puts the rest into their graveyard."
797,Mana Seism,"Sacrifice any number of lands, then add that much {C}."
798,Mindblaze,"Choose a nonland card name and a number greater than 0. Target player reveals their library. If that library contains exactly the chosen number of cards with the chosen name, Mindblaze deals 8 damage to that player. Then that player shuffles."
799,Yamabushi's Storm,"Yamabushi's Storm deals 1 damage to each creature. If a creature dealt damage this way would die this turn, exile it instead."
800,Gale Force,Gale Force deals 5 damage to each creature with flying.
801,Glimpse of Nature,"Whenever you cast a creature spell this turn, draw a card."
802,Time of Need,"Search your library for a legendary creature card, reveal it, put it into your hand, then shuffle."
803,Ascend from Avernus,Return all creature and planeswalker cards with mana value X or less from your graveyard to the battlefield. Exile Ascend from Avernus.
804,Cut a Deal,"Each opponent draws a card, then you draw a card for each opponent who drew a card this way."
805,Recruitment Drive,"Roll a d20.
1—9 | Create two 1/1 white Soldier creature tokens.
10—19 | Create two 2/2 white Knight creature tokens.
20 | Create three 2/2 white Knight creature tokens."
806,Sculpted Sunburst,"Choose a creature you control, then each opponent chooses a creature they control with equal or lesser power. If you chose a creature this way, exile each creature not chosen by any player this way."
807,Slaughter the Strong,"Each player chooses any number of creatures they control with total power 4 or less, then sacrifices all other creatures they control."
808,Candlekeep Inspiration,"Until end of turn, creatures you control have base power and toughness X/X, where X is the number of cards you own in exile and in your graveyard that are instant cards, are sorcery cards, and/or have an Adventure."
809,Cone of Cold,"Roll a d20.
1—9 | Tap all creatures your opponents control.
10—19 | Tap all creatures your opponents control. Those creatures don't untap during their controllers' next untap steps.
20 | Tap all creatures your opponents control. Those creatures don't untap during their controllers' next untap steps. Until your next turn, creatures your opponents control enter the battlefield tapped."
810,Irenicus's Vile Duplication,"Create a token that's a copy of target creature you control, except the token has flying and it isn't legendary if that creature is legendary."
811,Modify Memory,"Exchange control of two target creatures controlled by different players. If you control neither creature, draw three cards."
812,Arms of Hadar,Creatures target player controls get -2/-2 until end of turn.
813,Atrocious Experiment,"Target player mills two cards, draws two cards, and loses 2 life. (To mill a card, a player puts the top card of their library into their graveyard.)"
814,Blood Money,"Destroy all creatures. For each nontoken creature destroyed this way, you create a tapped Treasure token."
815,Call to the Void,Each player secretly chooses a creature they control and a creature they don't control. Then those choices are revealed. Destroy each creature chosen this way.
816,Cloudkill,"All creatures get -X/-X until end of turn, where X is the greatest mana value of a commander you own on the battlefield or in the command zone."
817,Eldritch Pact,"Target player draws X cards and loses X life, where X is the number of cards in their graveyard."
818,Myrkul's Edict,"Roll a d20.
1—9 | Choose an opponent. That player sacrifices a creature.
10—19 | Each opponent sacrifices a creature.
20 | Each opponent sacrifices a creature with the greatest power among creatures that player controls."
819,Summon Undead,"You may mill three cards. Then return a creature card from your graveyard to the battlefield. (To mill a card, put the top card of your library into your graveyard.)"
820,Coronation of Chaos,"Up to three target creatures can't block this turn. Goad them. (Until your next turn, those creatures attack each combat if able and attack a player other than you if able.)"
821,Inspired Tinkering,"Exile the top three cards of your library. Until the end of your next turn, you may play those cards.
Create three Treasure tokens. (They're artifacts with ""{T}, Sacrifice this artifact: Add one mana of any color."")"
822,Thunderwave,"Roll a d20.
1—9 | Thunderwave deals 3 damage to each creature.
10—19 | You may choose a creature. Thunderwave deals 3 damage to each creature not chosen this way.
20 | Thunderwave deals 6 damage to each creature your opponents control."
823,You've Been Caught Stealing,"Choose one —
• Threaten the Merchant — Each creature blocks this turn if able.
• Bribe the Guards — You create a Treasure token for each opponent who was dealt damage this turn. (It's an artifact with ""{T}, Sacrifice this artifact: Add one mana of any color."")"
824,Barroom Brawl,Target creature you control fights target creature the opponent to your left controls. Then that player may copy this spell and may choose new targets for the copy.
825,Druidic Ritual,"You may mill three cards. Then return up to one creature card and up to one land card from your graveyard to your hand. (To mill a card, put the top card of your library into your graveyard.)"
826,Explore the Underdark,"Search your library for up to two basic land cards and/or Gate cards, put them onto the battlefield tapped, then shuffle.
You take the initiative."
827,Majestic Genesis,"Reveal the top X cards of your library, where X is the greatest mana value of a commander you own on the battlefield or in the command zone. You may put any number of permanent cards from among them onto the battlefield. Put the rest on the bottom of your library in a random order."
828,Overwhelming Encounter,"Creatures you control gain vigilance and trample until end of turn. Roll a d20.
1—9 | Creatures you control get +2/+2 until end of turn.
10—19 | Put two +1/+1 counters on each creature you control.
20 | Put four +1/+1 counters on each creature you control."
829,Split the Spoils,Exile up to five target permanent cards from your graveyard and separate them into two piles. An opponent chooses one of those piles. Put that pile into your hand and the other into your graveyard. (Piles can be empty.)
830,Stick Together,"Each player chooses a party from among creatures they control, then sacrifices the rest. (To choose a party, choose up to one each of Cleric, Rogue, Warrior, and Wizard.)"
831,Psionic Ritual,"Replicate—Tap an untapped Horror you control. (When you cast this spell, copy it for each time you paid its replicate cost. You may choose new targets for the copies.)
Exile target instant or sorcery card from a graveyard and copy it. You may cast the copy without paying its mana cost.
Exile Psionic Ritual."
832,From the Catacombs,"Put target creature card from a graveyard onto the battlefield under your control with a corpse counter on it. If that creature would leave the battlefield, exile it instead of putting it anywhere else.
You take the initiative.
Escape—{3}{B}{B}, Exile five other cards from your graveyard. (You may cast this card from your graveyard for its escape cost.)"
833,Spectacular Showdown,"Put a double strike counter on target creature, then goad each creature that had a double strike counter put on it this way. (Until your next turn, those creatures attack each combat if able and attack a player other than you if able.)
Overload {4}{R}{R}{R} (You may cast this spell for its overload cost. If you do, change ""target"" in its text to ""each."")"
834,Venture Forth,"Exile cards from the top of your library until you exile a land card. Put that card onto the battlefield and the rest on the bottom of your library in a random order. Exile Venture Forth with three time counters on it.
Suspend 3—{1}{G}"
835,Fractured Sanity,"Each opponent mills fourteen cards.
Cycling {1}{U} ({1}{U}, Discard this card: Draw a card.)
When you cycle Fractured Sanity, each opponent mills four cards."
836,Crippling Fear,Choose a creature type. Creatures that aren't of the chosen type get -3/-3 until end of turn.
837,Thwart the Grave,"This spell costs {1} less to cast for each creature in your party. (Your party consists of up to one each of Cleric, Rogue, Warrior, and Wizard.)
Return target creature card and up to one target Cleric, Rogue, Warrior, or Wizard creature card from your graveyard to the battlefield."
838,Jeska's Will,"Choose one. If you control a commander as you cast this spell, you may choose both.
• Add {R} for each card in target opponent's hand.
• Exile the top three cards of your library. You may play them this turn."
839,Volcanic Torrent,"Cascade (When you cast this spell, exile cards from the top of your library until you exile a nonland card that costs less. You may cast it without paying its mana cost. Put the exiled cards on the bottom of your library in a random order.)
Volcanic Torrent deals X damage to each creature and planeswalker your opponents control, where X is the number of spells you've cast this turn."
840,Search for Tomorrow,"Search your library for a basic land card, put it onto the battlefield, then shuffle.
Suspend 2—{G} (Rather than cast this card from your hand, you may pay {G} and exile it with two time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, cast it without paying its mana cost.)"
841,Terramorph,"Search your library for a basic land card, put it onto the battlefield, then shuffle.
Rebound (If you cast this spell from your hand, exile it as it resolves. At the beginning of your next upkeep, you may cast this card from exile without paying its mana cost.)"
842,Three Visits,"Search your library for a Forest card, put it onto the battlefield, then shuffle."
843,Escape to the Wilds,"Exile the top five cards of your library. You may play cards exiled this way until the end of your next turn.
You may play an additional land this turn."
844,Buried Alive,"Search your library for up to three creature cards, put them into your graveyard, then shuffle."
845,Shared Trauma,"Join forces — Starting with you, each player may pay any amount of mana. Each player mills X cards, where X is the total amount of mana paid this way."
846,Syphon Flesh,Each other player sacrifices a creature. You create a 2/2 black Zombie creature token for each creature sacrificed this way.
847,Evincar's Justice,"Buyback {3} (You may pay an additional {3} as you cast this spell. If you do, put this card into your hand as it resolves.)
Evincar's Justice deals 2 damage to each creature and each player."
848,Death by Dragons,Each player other than target player creates a 5/5 red Dragon creature token with flying.
849,Scaled Destruction,"Choose one or more —
• Destroy all small creatures.
• Destroy all medium creatures.
• Destroy all large creatures.
(A small creature has total power and toughness 4 or less, medium is 5—8, and large is 9 or more.)"
850,You're in Command,Choose target creature you own and control. That creature becomes your commander. Any other commanders you have are no longer your commander. (That creature starts with a commander tax of {0}.)
851,Memory Bank,"Draw a card.
Bank (If you cast Memory Bank from your hand, exile it until the end of the match. You may cast it from exile during another game this match. It still counts toward your deck minimum.)"
852,Time Sidewalk,"Take an extra turn after this one.
If this card is in your opening hand, you may exile it. If you do, create four Time Walk token cards and shuffle them into your deck."
853,Truth or Dare,"Target opponent chooses one —
• Truth — That player plays with their hand revealed for the rest of the game.
• Dare — Mill all but the bottom ten cards of that player's library. (To mill, put the top card of that library into its owner's graveyard.)"
854,Largepox,"Each player discards a card, then loses 1 life, then sacrifices an artifact, a creature, an enchantment, a land, a planeswalker, and a tribal permanent, then exiles a card from their graveyard, then puts the top card of their library into their graveyard, then removes a counter from a permanent they control, then gets a poison counter."
855,Sunimret,"Reverse miracle {B} (If this card is on the bottom of your library as you begin searching it, you may cast it by paying its reverse miracle cost.)
Exile all creatures."
856,Yawgmoth's Testament,"Until end of turn, you may play face-up cards you own from exile.
If a card would be put into your graveyard or exile from anywhere this turn, put it on the bottom of your library instead."
857,Bombardment,"Until end of turn, cards you own that aren't on the battlefield lose all card types, costs, names, and abilities and become red sorceries named Missile that cost {R} with ""Missile deals 2 damage to any target."""
858,Planequake,"Planequake deals X damage to each creature without flying and each planeswalker. If X is 10 or more, open the ""Uncovered Cavern"" plot booster."
859,Graveyard Dig,"Return up to two target [black or green] creature cards from your graveyard to your hand.
You may cast this spell for {2}{B/G}{B/G}. If you do, ignore the bracketed text."
860,How to Keep an Izzet Mage Busy,Return How to Keep an Izzet Mage Busy to its owner's hand.
861,Pick Your Poison,"Choose any number of modes that total exactly 4. You may choose the same mode more than once.
[1] Put a +1/+1 counter on target creature.
[2] Create a 1/1 black Snake creature token with deathtouch.
[4] All creatures get -2/-2 until end of turn."
862,Seek Bolas's Counsel,"Choose one at random —
• You get an emblem with ""At the beginning of your upkeep, pay {U}{B}{R}. If you don't, you lose the game.""
• Each player discards their hand.
• Planeswalk to Pools of Becoming. (Once there, you can roll the planar die only if you're playing Planechase.)
• For each opponent, exile cards from the top of their library until you exile a nonland card. You may cast those cards without paying their mana costs.
• Destroy all creatures and non-Bolas planeswalkers.
• You get an emblem with ""You can cast nonland cards from your sideboard."""
863,Wrath of Sod,"Put a manabond counter on all creatures. (They lose all other abilities and become lands with ""{T}: Add one mana of this card's color."")"
864,Alliance of Arms,"Join forces — Starting with you, each player may pay any amount of mana. Each player creates X 1/1 white Soldier creature tokens, where X is the total amount of mana paid this way."
865,Trade Secrets,"Target opponent draws two cards, then you draw up to four cards. That opponent may repeat this process as many times as they choose."
866,Insurrection,Untap all creatures and gain control of them until end of turn. They gain haste until end of turn.
867,Ruination,Destroy all nonbasic lands.
868,Bestial Menace,"Create a 1/1 green Snake creature token, a 2/2 green Wolf creature token, and a 3/3 green Elephant creature token."
869,Firespout,Firespout deals 3 damage to each creature without flying if {R} was spent to cast this spell and 3 damage to each creature with flying if {G} was spent to cast this spell. (Do both if {R}{G} was spent.)
870,Captain's Call,Create three 1/1 white Soldier creature tokens.
871,Iona's Judgment,Exile target creature or enchantment.
872,Open the Armory,"Search your library for an Aura or Equipment card, reveal it, put it into your hand, then shuffle."
873,Slash the Ranks,Destroy all creatures and planeswalkers except for commanders.
874,Triumphant Reckoning,"Return all artifact, enchantment, and planeswalker cards from your graveyard to the battlefield."
875,Flood of Recollection,Return target instant or sorcery card from your graveyard to your hand. Exile Flood of Recollection.
876,Interpret the Signs,"Scry 3, then reveal the top card of your library. Draw cards equal to that card's mana value. (To scry 3, look at the top three cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)"
877,Mnemonic Deluge,Exile target instant or sorcery card from a graveyard. Copy that card three times. You may cast the copies without paying their mana costs. Exile Mnemonic Deluge.
878,Sakashima's Will,"Choose one. If you control a commander as you cast this spell, you may choose both.
• Target opponent chooses a creature they control. You gain control of it.
• Choose a creature you control. Each other creature you control becomes a copy of that creature until end of turn."
879,Bitter Revelation,Look at the top four cards of your library. Put two of them into your hand and the rest into your graveyard. You lose 2 life.
880,Eyeblight Massacre,Non-Elf creatures get -2/-2 until end of turn.
881,Feast of Succession,All creatures get -4/-4 until end of turn. You become the monarch.
882,Necrotic Hex,Each player sacrifices six creatures. You create six tapped 2/2 black Zombie creature tokens.
883,Profane Transfusion,"Two target players exchange life totals. You create an X/X colorless Horror artifact creature token, where X is the difference between those players' life totals."
884,Spark Harvest,"As an additional cost to cast this spell, sacrifice a creature or pay {3}{B}.
Destroy target creature or planeswalker."
885,Explosion of Riches,"Draw a card, then each other player may draw a card. Whenever a card is drawn this way, Explosion of Riches deals 5 damage to target opponent chosen at random from among your opponents."
886,Portent of Betrayal,Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn. Scry 1. (Look at the top card of your library. You may put that card on the bottom of your library.)
887,Renegade Tactics,"Target creature can't block this turn.
Draw a card."
888,Soulfire Eruption,"Choose any number of target creatures, planeswalkers, and/or players. For each of them, exile the top card of your library, then Soulfire Eruption deals damage equal to that card's mana value to that permanent or player. You may play the exiled cards until the end of your next turn."
889,Wheel of Misfortune,"Each player secretly chooses a number 0 or greater, then all players reveal those numbers simultaneously and determine the highest and lowest numbers revealed this way. Wheel of Misfortune deals damage equal to the highest number to each player who chose that number. Each player who didn't choose the lowest number discards their hand, then draws seven cards."
890,Reshape the Earth,"Search your library for up to ten land cards, put them onto the battlefield tapped, then shuffle."
891,Strength of the Pack,Put two +1/+1 counters on each creature you control.
892,Expropriate,"Council's dilemma — Starting with you, each player votes for time or money. For each time vote, take an extra turn after this one. For each money vote, choose a permanent owned by the voter and gain control of it. Exile Expropriate."
893,Capital Punishment,"Council's dilemma — Starting with you, each player votes for death or taxes. Each opponent sacrifices a creature for each death vote and discards a card for each taxes vote."
894,Besmirch,"Until end of turn, gain control of target creature and it gains haste. Untap and goad that creature. (Until your next turn, that creature attacks each combat if able and attacks a player other than you if able.)"
895,Subterranean Tremors,"Subterranean Tremors deals X damage to each creature without flying. If X is 4 or more, destroy all artifacts. If X is 8 or more, create an 8/8 red Lizard creature token."
896,Selvala's Stampede,"Council's dilemma — Starting with you, each player votes for wild or free. Reveal cards from the top of your library until you reveal a creature card for each wild vote. Put those creature cards onto the battlefield, then shuffle the rest into your library. You may put a permanent card from your hand onto the battlefield for each free vote."
897,Hallowed Burial,Put all creatures on the bottom of their owners' libraries.
898,Windborne Charge,Two target creatures you control each get +2/+2 and gain flying until end of turn.
899,Show and Tell,"Each player may put an artifact, creature, enchantment, or land card from their hand onto the battlefield."
900,Absorb Vis,"Target player loses 4 life and you gain 4 life.
Basic landcycling {1}{B} ({1}{B}, Discard this card: Search your library for a basic land card, reveal it, put it into your hand, then shuffle.)"
901,Festergloom,Nonblack creatures get -1/-1 until end of turn.
902,Burning Wish,You may reveal a sorcery card you own from outside the game and put it into your hand. Exile Burning Wish.
903,Flame Slash,Flame Slash deals 4 damage to target creature.
904,Hurly-Burly,"Choose one —
• Hurly-Burly deals 1 damage to each creature without flying.
• Hurly-Burly deals 1 damage to each creature with flying."
905,Fade into Antiquity,Exile target artifact or enchantment.
906,Irresistible Prey,"Target creature must be blocked this turn if able.
Draw a card."
907,Rousing of Souls,"Parley — Each player reveals the top card of their library. For each nonland card revealed this way, you create a 1/1 white Spirit creature token with flying. Then each player draws a card."
908,Plea for Power,"Will of the council — Starting with you, each player votes for time or knowledge. If time gets more votes, take an extra turn after this one. If knowledge gets more votes or the vote is tied, draw three cards."
909,Bite of the Black Rose,"Will of the council — Starting with you, each player votes for sickness or psychosis. If sickness gets more votes, creatures your opponents control get -2/-2 until end of turn. If psychosis gets more votes or the vote is tied, each opponent discards two cards."
910,Reign of the Pit,"Each player sacrifices a creature. Create an X/X black Demon creature token with flying, where X is the total power of the creatures sacrificed this way."
911,Tyrant's Choice,"Will of the council — Starting with you, each player votes for death or torture. If death gets more votes, each opponent sacrifices a creature. If torture gets more votes or the vote is tied, each opponent loses 4 life."
912,Grenzo's Rebuttal,"Create a 4/4 red Ogre creature token. Starting with you, each player chooses an artifact, a creature, and a land from among the permanents controlled by the player to their left. Destroy each permanent chosen this way."
913,Selvala's Charge,"Parley — Each player reveals the top card of their library. For each nonland card revealed this way, you create a 3/3 green Elephant creature token. Then each player draws a card."
914,Ill-Gotten Gains,"Exile Ill-Gotten Gains. Each player discards their hand, then returns up to three cards from their graveyard to their hand."
915,Smallpox,"Each player loses 1 life, discards a card, sacrifices a creature, then sacrifices a land."
916,Lead the Stampede,Look at the top five cards of your library. You may reveal any number of creature cards from among them and put the revealed cards into your hand. Put the rest on the bottom of your library in any order.
917,Telemin Performance,"Target opponent reveals cards from the top of their library until they reveal a creature card. That player puts all noncreature cards revealed this way into their graveyard, then you put the creature card onto the battlefield under your control."
918,Voices from the Void,Domain — Target player discards a card for each basic land type among lands you control.
919,Wretched Banquet,Destroy target creature if it has the least power or is tied for least power among creatures on the battlefield.
920,Banefire,"Banefire deals X damage to any target.
If X is 5 or more, this spell can't be countered and the damage can't be prevented."
921,Quenchable Fire,Quenchable Fire deals 3 damage to target player or planeswalker. It deals an additional 3 damage to that player or planeswalker at the beginning of your next upkeep step unless that player or that planeswalker's controller pays {U} before that step.
922,Shard Convergence,"Search your library for a Plains card, an Island card, a Swamp card, and a Mountain card. Reveal those cards, put them into your hand, then shuffle."
923,Spore Burst,Domain — Create a 1/1 green Saproling creature token for each basic land type among lands you control.
924,Exploding Borders,"Domain — Search your library for a basic land card, put that card onto the battlefield tapped, then shuffle. Exploding Borders deals X damage to target player or planeswalker, where X is the number of basic land types among lands you control."
925,Sunscour,"You may exile two white cards from your hand rather than pay this spell's mana cost.
Destroy all creatures."
926,Feast of Flesh,"Feast of Flesh deals X damage to target creature and you gain X life, where X is 1 plus the number of cards named Feast of Flesh in all graveyards."
927,Surging Dementia,"Ripple 4 (When you cast this spell, you may reveal the top four cards of your library. You may cast spells with the same name as this spell from among those cards without paying their mana costs. Put the rest on the bottom of your library.)
Target player discards a card."
928,Fury of the Horde,"You may exile two red cards from your hand rather than pay this spell's mana cost.
Untap all creatures that attacked this turn. After this main phase, there is an additional combat phase followed by an additional main phase."
929,Icefall,"Destroy target artifact or land.
Recover {R}{R} (When a creature is put into your graveyard from the battlefield, you may pay {R}{R}. If you do, return this card from your graveyard to your hand. Otherwise, exile this card.)"
930,Rite of Flame,"Add {R}{R}, then add {R} for each card named Rite of Flame in each graveyard."
931,Into the North,"Search your library for a snow land card, put it onto the battlefield tapped, then shuffle."
932,Sound the Call,"Create a 1/1 green Wolf creature token. It has ""This creature gets +1/+1 for each card named Sound the Call in each graveyard."""
933,Soul Burn,"Spend only black and/or red mana on X.
Soul Burn deals X damage to any target. You gain life equal to the damage dealt, but not more than the amount of {B} spent on X, the player's life total before the damage was dealt, the planeswalker's loyalty before the damage was dealt, or the creature's toughness."
934,Homestead Courage,"Put a +1/+1 counter on target creature you control. It gains vigilance until end of turn.
Flashback {W} (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
935,Sunset Revelry,"If an opponent has more life than you, you gain 4 life.
If an opponent controls more creatures than you, create two 1/1 white Human creature tokens.
If an opponent has more cards in hand than you, draw a card."
936,Vanquish the Horde,"This spell costs {1} less to cast for each creature on the battlefield.
Destroy all creatures."
937,Vivisection,"As an additional cost to cast this spell, sacrifice a creature.
Draw three cards."
938,Crawl from the Cellar,"Return target creature card from your graveyard to your hand. Put a +1/+1 counter on up to one target Zombie you control.
Flashback {3}{B} (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
939,Eaten Alive,"As an additional cost to cast this spell, sacrifice a creature or pay {3}{B}.
Exile target creature or planeswalker."
940,Foul Play,"Destroy target creature with power 2 or less. Investigate. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this artifact: Draw a card."")"
941,No Way Out,"Target opponent discards two cards. You create a 2/2 black Zombie creature token with decayed. (It can't block. When it attacks, sacrifice it at end of combat.)"
942,Abandon the Post,"Up to two target creatures can't block this turn.
Flashback {3}{R} (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
943,Burn Down the House,"Choose one —
• Burn Down the House deals 5 damage to each creature and each planeswalker.
• Create three 1/1 red Devil creature tokens with ""When this creature dies, it deals 1 damage to any target."" They gain haste until end of turn."
944,Light Up the Night,"Light Up the Night deals X damage to any target. It deals X plus 1 damage instead if that target is a creature or planeswalker.
Flashback—{3}{R}, Remove X loyalty counters from among planeswalkers you control. If you cast this spell this way, X can't be 0. (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
945,Pack's Betrayal,"Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn. If you control a Wolf or Werewolf, scry 2. (Look at the top two cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)"
946,Seize the Storm,"Create a red Elemental creature token with trample and ""This creature's power and toughness are each equal to the number of instant and sorcery cards in your graveyard plus the number of cards with flashback you own in exile.""
Flashback {6}{R} (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
947,Dryad's Revival,"Return target card from your graveyard to your hand.
Flashback {4}{G} (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
948,Path to the Festival,"Search your library for a basic land card, put that card onto the battlefield tapped, then shuffle. Then if there are three or more basic land types among lands you control, scry 1. (Look at the top card of your library. You may put that card on the bottom of your library.)
Flashback {4}{G} (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
