,name,text
503,Batwing Brume,Prevent all combat damage that would be dealt this turn if {W} was spent to cast this spell. Each player loses 1 life for each attacking creature they control if {B} was spent to cast this spell. (Do both if {W}{B} was spent.)
504,Heroes' Reunion,Target player gains 7 life.
505,Unmake,Exile target creature.
506,Wax // Wane,Target creature gets +2/+2 until end of turn.
507,Army of Allah,Attacking creatures get +2/+0 until end of turn.
508,Artifact Blast,Counter target artifact spell.
509,Angel's Mercy,You gain 7 life.
510,Banishing Stroke,"Put target artifact, creature, or enchantment on the bottom of its owner's library.
Miracle {W} (You may cast this card for its miracle cost when you draw it if it's the first card you drew this turn.)"
511,Cursebreak,Destroy target enchantment. You gain 2 life.
512,Divine Deflection,"Prevent the next X damage that would be dealt to you and/or permanents you control this turn. If damage is prevented this way, Divine Deflection deals that much damage to any target."
513,Leap of Faith,Target creature gains flying until end of turn. Prevent all damage that would be dealt to that creature this turn.
514,Righteous Blow,Righteous Blow deals 2 damage to target attacking or blocking creature.
515,Zealous Strike,Target creature gets +2/+2 and gains first strike until end of turn.
516,Crippling Chill,"Tap target creature. It doesn't untap during its controller's next untap step.
Draw a card."
517,Fleeting Distraction,"Target creature gets -1/-0 until end of turn.
Draw a card."
518,Geist Snatch,Counter target creature spell. Create a 1/1 blue Spirit creature token with flying.
519,Ghostly Flicker,"Exile two target artifacts, creatures, and/or lands you control, then return those cards to the battlefield under your control."
520,Outwit,Counter target spell that targets a player.
521,Peel from Reality,Return target creature you control and target creature you don't control to their owners' hands.
522,Second Guess,Counter target spell that's the second spell cast this turn.
523,Vanishment,"Put target nonland permanent on top of its owner's library.
Miracle {U} (You may cast this card for its miracle cost when you draw it if it's the first card you drew this turn.)"
524,Death Wind,Target creature gets -X/-X until end of turn.
525,Human Frailty,Destroy target Human creature.
526,Necrobite,"Target creature gains deathtouch until end of turn. Regenerate it. (The next time that creature would be destroyed this turn, it isn't. Instead tap it, remove all damage from it, and remove it from combat. Any amount of damage a creature with deathtouch deals to a creature is enough to destroy it.)"
527,Aggravate,Aggravate deals 1 damage to each creature target player controls. Each creature dealt damage this way attacks this turn if able.
528,Banners Raised,Creatures you control get +1/+0 until end of turn.
529,Battle Hymn,Add {R} for each creature you control.
530,Dangerous Wager,"Discard your hand, then draw two cards."
531,Rush of Blood,"Target creature gets +X/+0 until end of turn, where X is its power."
532,Thunderbolt,"Choose one —
• Thunderbolt deals 3 damage to target player or planeswalker.
• Thunderbolt deals 4 damage to target creature with flying."
533,Thunderous Wrath,"Thunderous Wrath deals 5 damage to any target.
Miracle {R} (You may cast this card for its miracle cost when you draw it if it's the first card you drew this turn.)"
534,Uncanny Speed,Target creature gets +3/+0 and gains haste until end of turn.
535,Eaten by Spiders,Destroy target creature with flying and all Equipment attached to that creature.
536,Joint Assault,"Target creature gets +2/+2 until end of turn. If it's paired with a creature, that creature also gets +2/+2 until end of turn."
537,Natural End,Destroy target artifact or enchantment. You gain 3 life.
538,Sheltering Word,Target creature you control gains hexproof until end of turn. You gain life equal to that creature's toughness. (A creature with hexproof can't be the target of spells or abilities your opponents control.)
539,Snare the Skies,Target creature gets +1/+1 and gains reach until end of turn. (It can block creatures with flying.)
540,Terrifying Presence,Prevent all combat damage that would be dealt by creatures other than target creature this turn.
541,Fumble,"Return target creature to its owner's hand. Gain control of all Auras and Equipment that were attached to it, then attach them to another creature."
542,Out of Bounds,"Assist (Another player can pay up to {3} of this spell's cost.)
Counter target spell."
543,Gang Up,"Assist (Another player can pay up to {X} of this spell's cost. You choose the value of X.)
Destroy target creature with power X or less."
544,Stunning Reversal,"The next time you would lose the game this turn, instead draw seven cards and your life total becomes 1.
Exile Stunning Reversal."
545,Thrilling Encore,Put onto the battlefield under your control all creature cards in all graveyards that were put there from the battlefield this turn.
546,Long Road Home,"Exile target creature. At the beginning of the next end step, return that card to the battlefield under its owner's control with a +1/+1 counter on it."
547,Rebuke,Destroy target attacking creature.
548,Take Up Arms,Create three 1/1 white Warrior creature tokens.
549,Tandem Tactics,Up to two target creatures each get +1/+2 until end of turn. You gain 2 life.
550,Impulse,Look at the top four cards of your library. Put one of them into your hand and the rest on the bottom of your library in any order.
551,Mystic Confluence,"Choose three. You may choose the same mode more than once.
• Counter target spell unless its controller pays {3}.
• Return target creature to its owner's hand.
• Draw a card."
552,Spell Snare,Counter target spell with mana value 2.
553,Grotesque Mutation,Target creature gets +3/+1 and gains lifelink until end of turn. (Damage dealt by the creature also causes its controller to gain that much life.)
554,Last Gasp,Target creature gets -3/-3 until end of turn.
555,Expedite,"Target creature gains haste until end of turn.
Draw a card."
556,Thunder Strike,Target creature gets +2/+0 and gains first strike until end of turn. (It deals combat damage before creatures without first strike.)
557,Aim High,Untap target creature. It gets +2/+2 and gains reach until end of turn. (It can block creatures with flying.)
558,Lead by Example,Support 2. (Put a +1/+1 counter on each of up to two target creatures.)
559,Pulse of Murasa,Return target creature or land card from a graveyard to its owner's hand. You gain 6 life.
560,Return to the Earth,"Destroy target artifact, enchantment, or creature with flying."
561,Scour from Existence,Exile target permanent.
562,Titan's Presence,"As an additional cost to cast this spell, reveal a colorless creature card from your hand.
Exile target creature if its power is less than or equal to the revealed card's power."
563,Encircling Fissure,"Prevent all combat damage that would be dealt this turn by creatures target opponent controls.
Awaken 2—{4}{W} (If you cast this spell for {4}{W}, also put two +1/+1 counters on target land you control and it becomes a 0/0 Elemental creature with haste. It's still a land.)"
564,Gideon's Reproach,Gideon's Reproach deals 4 damage to target attacking or blocking creature.
565,Inspired Charge,Creatures you control get +2/+1 until end of turn.
566,Lithomancer's Focus,Target creature gets +2/+2 until end of turn. Prevent all damage that would be dealt to that creature this turn by colorless sources.
567,Roil's Retribution,Roil's Retribution deals 5 damage divided as you choose among any number of target attacking or blocking creatures.
568,Smite the Monstrous,Destroy target creature with power 4 or greater.
569,Adverse Conditions,"Devoid (This card has no color.)
Tap up to two target creatures. Those creatures don't untap during their controller's next untap step. Create a 1/1 colorless Eldrazi Scion creature token. It has ""Sacrifice this creature: Add {C}."""
570,Horribly Awry,"Devoid (This card has no color.)
Counter target creature spell with mana value 4 or less. If that spell is countered this way, exile it instead of putting it into its owner's graveyard."
571,Spell Shrivel,"Devoid (This card has no color.)
Counter target spell unless its controller pays {4}. If that spell is countered this way, exile it instead of putting it into its owner's graveyard."
572,Anticipate,Look at the top three cards of your library. Put one of them into your hand and the rest on the bottom of your library in any order.
573,Dispel,Counter target instant spell.
574,Roilmage's Trick,"Converge — Creatures your opponents control get -X/-0 until end of turn, where X is the number of colors of mana spent to cast this spell.
Draw a card."
575,Scatter to the Winds,"Counter target spell.
Awaken 3—{4}{U}{U} (If you cast this spell for {4}{U}{U}, also put three +1/+1 counters on target land you control and it becomes a 0/0 Elemental creature with haste. It's still a land.)"
576,Complete Disregard,"Devoid (This card has no color.)
Exile target creature with power 3 or less."
577,Grave Birthing,"Devoid (This card has no color.)
Target opponent exiles a card from their graveyard. You create a 1/1 colorless Eldrazi Scion creature token. It has ""Sacrifice this creature: Add {C}.""
Draw a card."
578,Grip of Desolation,"Devoid (This card has no color.)
Exile target creature and target land."
579,Altar's Reap,"As an additional cost to cast this spell, sacrifice a creature.
Draw two cards."
580,Turn Against,"Devoid (This card has no color.)
Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn."
581,Outnumber,Outnumber deals damage to target creature equal to the number of creatures you control.
582,Stonefury,Stonefury deals damage to target creature equal to the number of lands you control.
583,Sure Strike,Target creature gets +3/+0 and gains first strike until end of turn.
584,Volcanic Upheaval,Destroy target land.
585,Unnatural Aggression,"Devoid (This card has no color.)
Target creature you control fights target creature an opponent controls. If the creature an opponent controls would die this turn, exile it instead."
586,Infuse with the Elements,"Converge — Put X +1/+1 counters on target creature, where X is the number of colors of mana spent to cast this spell. That creature gains trample until end of turn."
587,Natural Connection,"Search your library for a basic land card, put it onto the battlefield tapped, then shuffle."
588,Swell of Growth,Target creature gets +2/+2 until end of turn. You may put a land card from your hand onto the battlefield.
589,Brutal Expulsion,"Devoid (This card has no color.)
Choose one or both —
• Return target spell or creature to its owner's hand.
• Brutal Expulsion deals 2 damage to target creature or planeswalker. If that creature or planeswalker would die this turn, exile it instead."
590,Acolyte's Reward,"Prevent the next X damage that would be dealt to target creature this turn, where X is your devotion to white. If damage is prevented this way, Acolyte's Reward deals that much damage to any target. (Each {W} in the mana costs of permanents you control counts toward your devotion to white.)"
591,Fated Retribution,"Destroy all creatures and planeswalkers. If it's your turn, scry 2. (Look at the top two cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)"
592,Glimpse the Sun God,Tap X target creatures. Scry 1. (Look at the top card of your library. You may put that card on the bottom of your library.)
593,Hold at Bay,Prevent the next 7 damage that would be dealt to any target this turn.
594,Mortal's Ardor,Target creature gets +1/+1 and gains lifelink until end of turn. (Damage dealt by the creature also causes its controller to gain that much life.)
595,Crypsis,Target creature you control gains protection from creatures your opponents control until end of turn. Untap it.
596,Fated Infatuation,"Create a token that's a copy of target creature you control. If it's your turn, scry 2. (Look at the top two cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)"
597,Nullify,Counter target creature or Aura spell.
598,Sudden Storm,Tap up to two target creatures. Those creatures don't untap during their controllers' next untap steps. Scry 1. (Look at the top card of your library. You may put that card on the bottom of your library.)
599,Thassa's Rebuff,"Counter target spell unless its controller pays {X}, where X is your devotion to blue. (Each {U} in the mana costs of permanents you control counts toward your devotion to blue.)"
600,Eye Gouge,"Target creature gets -1/-1 until end of turn. If it's a Cyclops, destroy it."
601,Fated Return,"Put target creature card from a graveyard onto the battlefield under your control. It gains indestructible. If it's your turn, scry 2. (Look at the top two cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)"
602,Fall of the Hammer,Target creature you control deals damage equal to its power to another target creature.
603,Fated Conflagration,"Fated Conflagration deals 5 damage to target creature or planeswalker. If it's your turn, scry 2. (Look at the top two cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)"
604,Lightning Volley,"Until end of turn, creatures you control gain ""{T}: This creature deals 1 damage to any target."""
605,Rise to the Challenge,Target creature gets +2/+0 and gains first strike until end of turn.
606,Searing Blood,"Searing Blood deals 2 damage to target creature. When that creature dies this turn, Searing Blood deals 3 damage to the creature's controller."
607,Aspect of Hydra,"Target creature gets +X/+X until end of turn, where X is your devotion to green. (Each {G} in the mana costs of permanents you control counts toward your devotion to green.)"
608,Fated Intervention,"Create two 3/3 green Centaur enchantment creature tokens. If it's your turn, scry 2. (Look at the top two cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)"
609,Mortal's Resolve,"Target creature gets +1/+1 and gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)"
610,Unravel the Aether,Choose target artifact or enchantment. Its owner shuffles it into their library.
611,Reap What Is Sown,Put a +1/+1 counter on each of up to three target creatures.
612,Scour,"Exile target enchantment. Search its controller's graveyard, hand, and library for all cards with the same name as that enchantment and exile them. Then that player shuffles."
613,Minamo's Meddling,"Counter target spell. That spell's controller reveals their hand, then discards each card with the same name as a card spliced onto that spell."
614,Quash,"Counter target instant or sorcery spell. Search its controller's graveyard, hand, and library for all cards with the same name as that spell and exile them. Then that player shuffles."
615,Hero's Demise,Destroy target legendary creature.
616,Flames of the Blood Hand,"Flames of the Blood Hand deals 4 damage to target player or planeswalker. The damage can't be prevented. If that player or that planeswalker's controller would gain life this turn, that player gains no life instead."
617,Curfew,Each player returns a creature they control to its owner's hand.
618,Heat Ray,Heat Ray deals X damage to target creature.
619,Shower of Sparks,Shower of Sparks deals 1 damage to target creature and 1 damage to target player or planeswalker.
620,Symbiosis,Two target creatures each get +2/+2 until end of turn.
621,Bone Harvest,"Put any number of target creature cards from your graveyard on top of your library.
Draw a card at the beginning of the next turn's upkeep."
622,Sonic Burst,"As an additional cost to cast this spell, discard a card at random.
Sonic Burst deals 4 damage to any target."
623,Unexpectedly Absent,Put target nonland permanent into its owner's library just beneath the top X cards of that library.
624,Dismiss,"Counter target spell.
Draw a card."
625,Illusionist's Gambit,"Cast this spell only during the declare blockers step on an opponent's turn.
Remove all attacking creatures from combat and untap them. After this phase, there is an additional combat phase. Each of those creatures attacks that combat if able. They can't attack you or planeswalkers you control that combat."
626,Vision Skeins,Each player draws two cards.
627,Annihilate,"Destroy target nonblack creature. It can't be regenerated.
Draw a card."
628,Reckless Spite,Destroy two target nonblack creatures. You lose 5 life.
629,Sudden Spoiling,"Split second (As long as this spell is on the stack, players can't cast spells or activate abilities that aren't mana abilities.)
Until end of turn, creatures target player controls lose all abilities and have base power and toughness 0/2."
630,Street Spasm,"Street Spasm deals X damage to target creature without flying you don't control.
Overload {X}{X}{R}{R} (You may cast this spell for its overload cost. If you do, change its text by replacing all instances of ""target"" with ""each."")"
631,Wild Ricochet,You may choose new targets for target instant or sorcery spell. Then copy that spell. You may choose new targets for the copy.
632,Krosan Grip,"Split second (As long as this spell is on the stack, players can't cast spells or activate abilities that aren't mana abilities.)
Destroy target artifact or enchantment."
633,Reincarnation,"Choose target creature. When that creature dies this turn, return a creature card from its owner's graveyard to the battlefield under the control of that creature's owner."
634,Slice in Twain,"Destroy target artifact or enchantment.
Draw a card."
635,Sprouting Vines,"Search your library for a basic land card, reveal that card, put it into your hand, then shuffle.
Storm (When you cast this spell, copy it for each spell cast before it this turn.)"
636,Crosis's Charm,"Choose one —
• Return target permanent to its owner's hand.
• Destroy target nonblack creature. It can't be regenerated.
• Destroy target artifact."
637,Dromar's Charm,"Choose one —
• You gain 5 life.
• Counter target spell.
• Target creature gets -2/-2 until end of turn."
638,Selesnya Charm,"Choose one —
• Target creature gets +2/+2 and gains trample until end of turn.
• Exile target creature with power 5 or greater.
• Create a 2/2 white Knight creature token with vigilance."
639,Spinal Embrace,"Cast this spell only during combat.
Untap target creature you don't control and gain control of it. It gains haste until end of turn. At the beginning of the next end step, sacrifice it. If you do, you gain life equal to its toughness."
640,Benevolent Offering,"Choose an opponent. You and that player each create three 1/1 white Spirit creature tokens with flying.
Choose an opponent. You gain 2 life for each creature you control and that player gains 2 life for each creature they control."
641,Comeuppance,"Prevent all damage that would be dealt to you and planeswalkers you control this turn by sources you don't control. If damage from a creature source is prevented this way, Comeuppance deals that much damage to that creature. If damage from a noncreature source is prevented this way, Comeuppance deals that much damage to the source's controller."
642,Domineering Will,Target player gains control of up to three target nonattacking creatures until end of turn. Untap those creatures. They block this turn if able.
643,Intellectual Offering,"Choose an opponent. You and that player each draw three cards.
Choose an opponent. Untap all nonland permanents you control and all nonland permanents that player controls."
644,Malicious Affliction,"Morbid — When you cast this spell, if a creature died this turn, you may copy Malicious Affliction and may choose a new target for the copy.
Destroy target nonblack creature."
645,Spoils of Blood,"Create an X/X black Horror creature token, where X is the number of creatures that died this turn."
646,Wake the Dead,"Cast this spell only during combat on an opponent's turn.
Return X target creature cards from your graveyard to the battlefield. Sacrifice those creatures at the beginning of the next end step."
647,Impact Resonance,"Impact Resonance deals X damage divided as you choose among any number of target creatures, where X is the greatest amount of damage dealt by a source to a permanent or player this turn."
648,Volcanic Offering,"Destroy target nonbasic land you don't control and target nonbasic land of an opponent's choice you don't control.
Volcanic Offering deals 7 damage to target creature you don't control and 7 damage to target creature of an opponent's choice you don't control."
649,Afterlife,Destroy target creature. It can't be regenerated. Its controller creates a 1/1 white Spirit creature token with flying.
650,Brave the Elements,Choose a color. White creatures you control gain protection from the chosen color until end of turn.
651,Midnight Haunting,Create two 1/1 white Spirit creature tokens with flying.
652,Oblation,"The owner of target nonland permanent shuffles it into their library, then draws two cards."
653,Return to Dust,"Exile target artifact or enchantment. If you cast this spell during your main phase, you may exile up to one other target artifact or enchantment."
654,White Sun's Zenith,Create X 2/2 white Cat creature tokens. Shuffle White Sun's Zenith into its owner's library.
655,Wing Shards,"Target player sacrifices an attacking creature.
Storm (When you cast this spell, copy it for each spell cast before it this turn. You may choose new targets for the copies.)"
656,Cackling Counterpart,"Create a token that's a copy of target creature you control.
Flashback {5}{U}{U} (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
657,Into the Roil,"Kicker {1}{U} (You may pay an additional {1}{U} as you cast this spell.)
Return target nonland permanent to its owner's hand. If this spell was kicked, draw a card."
658,Stroke of Genius,Target player draws X cards.
659,Turn to Frog,"Until end of turn, target creature loses all abilities and becomes a blue Frog with base power and toughness 1/1."
660,Skeletal Scrying,"As an additional cost to cast this spell, exile X cards from your graveyard.
You draw X cards and you lose X life."
661,Tendrils of Corruption,"Tendrils of Corruption deals X damage to target creature and you gain X life, where X is the number of Swamps you control."
662,Tragic Slip,"Target creature gets -1/-1 until end of turn.
Morbid — That creature gets -13/-13 until end of turn instead if a creature died this turn."
663,Word of Seizing,"Split second (As long as this spell is on the stack, players can't cast spells or activate abilities that aren't mana abilities.)
Untap target permanent and gain control of it until end of turn. It gains haste until end of turn."
664,Fresh Meat,Create a 3/3 green Beast creature token for each creature put into your graveyard from the battlefield this turn.
665,Aethersnatch,"Gain control of target spell. You may choose new targets for it. (If that spell becomes a permanent, it enters the battlefield under your control.)"
666,Mirror Match,"Cast this spell only during the declare blockers step.
For each creature attacking you or a planeswalker you control, create a token that's a copy of that creature and that's blocking that creature. Exile those tokens at end of combat."
667,Synthetic Destiny,"Exile all creatures you control. At the beginning of the next end step, reveal cards from the top of your library until you reveal that many creature cards, put all creature cards revealed this way onto the battlefield, then shuffle the rest of the revealed cards into your library."
668,Wretched Confluence,"Choose three. You may choose the same mode more than once.
• Target player draws a card and loses 1 life.
• Target creature gets -2/-2 until end of turn.
• Return target creature card from your graveyard to your hand."
669,Arachnogenesis,"Create X 1/2 green Spider creature tokens with reach, where X is the number of creatures attacking you. Prevent all combat damage that would be dealt this turn by non-Spider creatures."
670,Blustersquall,"Tap target creature you don't control.
Overload {3}{U} (You may cast this spell for its overload cost. If you do, change its text by replacing all instances of ""target"" with ""each."")"
671,Dominate,Gain control of target creature with mana value X or less.
672,Echoing Truth,Return target nonland permanent and all other permanents with the same name as that permanent to their owners' hands.
673,Fact or Fiction,Reveal the top five cards of your library. An opponent separates those cards into two piles. Put one pile into your hand and the other into your graveyard.
674,Rapid Hybridization,Destroy target creature. It can't be regenerated. That creature's controller creates a 3/3 green Frog Lizard creature token.
675,Reins of Power,Untap all creatures you control and all creatures target opponent controls. You and that opponent each gain control of all creatures the other controls until end of turn. Those creatures gain haste until end of turn.
676,Repeal,"Return target nonland permanent with mana value X to its owner's hand.
Draw a card."
677,Act of Aggression,"({R/P} can be paid with either {R} or 2 life.)
Gain control of target creature an opponent controls until end of turn. Untap that creature. It gains haste until end of turn."
678,Comet Storm,"Multikicker {1} (You may pay an additional {1} any number of times as you cast this spell.)
Choose any target, then choose another target for each time this spell was kicked. Comet Storm deals X damage to each of them."
679,Desperate Ravings,"Draw two cards, then discard a card at random.
Flashback {2}{U} (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
680,Urza's Rage,"Kicker {8}{R} (You may pay an additional {8}{R} as you cast this spell.)
This spell can't be countered.
Urza's Rage deals 3 damage to any target. If this spell was kicked, instead it deals 10 damage to that permanent or player and the damage can't be prevented."
681,Tribute to the Wild,Each opponent sacrifices an artifact or enchantment.
682,Counterflux,"This spell can't be countered.
Counter target spell you don't control.
Overload {1}{U}{U}{R} (You may cast this spell for its overload cost. If you do, change its text by replacing all instances of ""target"" with ""each."")"
683,Firemind's Foresight,"Search your library for an instant card with mana value 3, reveal it, and put it into your hand. Then repeat this process for instant cards with mana values 2 and 1. Then shuffle."
684,Golgari Charm,"Choose one —
• All creatures get -1/-1 until end of turn.
• Destroy target enchantment.
• Regenerate each creature you control."
685,Grisly Salvage,Reveal the top five cards of your library. You may put a creature or land card from among them into your hand. Put the rest into your graveyard.
686,Putrefy,Destroy target artifact or creature. It can't be regenerated.
687,Steam Augury,Reveal the top five cards of your library and separate them into two piles. An opponent chooses one of those piles. Put that pile into your hand and the other into your graveyard.
688,Snakeform,"Until end of turn, target creature loses all abilities and becomes a green Snake with base power and toughness 1/1.
Draw a card."
689,Grip of Phyresis,"Gain control of target Equipment, then create a 0/0 black Phyrexian Germ creature token and attach that Equipment to it."
690,Curtains' Call,"Undaunted (This spell costs {1} less to cast for each opponent.)
Destroy two target creatures."
691,Divergent Transformations,"Undaunted (This spell costs {1} less to cast for each opponent.)
Exile two target creatures. For each of those creatures, its controller reveals cards from the top of their library until they reveal a creature card, puts that card onto the battlefield, then shuffles the rest into their library."
692,Benefactor's Draught,"Untap all creatures. Until end of turn, whenever a creature an opponent controls blocks, draw a card.
Draw a card."
693,Ancient Excavation,"Draw cards equal to the number of cards in your hand, then discard a card for each card drawn this way.
Basic landcycling {2} ({2}, Discard this card: Search your library for a basic land card, reveal it, put it into your hand, then shuffle.)"
694,Sylvan Reclamation,"Exile up to two target artifacts and/or enchantments.
Basic landcycling {2} ({2}, Discard this card: Search your library for a basic land card, reveal it, put it into your hand, then shuffle.)"
695,Chain of Vapor,"Return target nonland permanent to its owner's hand. Then that permanent's controller may sacrifice a land. If the player does, they may copy this spell and may choose a new target for that copy."
696,Disdainful Stroke,Counter target spell with mana value 4 or greater.
697,Read the Runes,"Draw X cards. For each card drawn this way, discard a card unless you sacrifice a permanent."
698,Swan Song,"Counter target enchantment, instant, or sorcery spell. Its controller creates a 2/2 blue Bird creature token with flying."
699,Grab the Reins,"Choose one —
• Until end of turn, you gain control of target creature and it gains haste.
• Sacrifice a creature. Grab the Reins deals damage equal to that creature's power to any target.
Entwine {2}{R} (Choose both if you pay the entwine cost.)"
700,Solidarity of Heroes,"Strive — This spell costs {1}{G} more to cast for each target beyond the first.
Choose any number of target creatures. Double the number of +1/+1 counters on each of them."
701,Artifact Mutation,"Destroy target artifact. It can't be regenerated. Create X 1/1 green Saproling creature tokens, where X is that artifact's mana value."
702,Aura Mutation,"Destroy target enchantment. Create X 1/1 green Saproling creature tokens, where X is that enchantment's mana value."
703,Mirrorweave,Each other creature becomes a copy of target nonlegendary creature until end of turn.
704,Trial // Error,Return all creatures blocking or blocked by target creature to their owner's hand.
705,Polymorphist's Jest,"Until end of turn, each creature target player controls loses all abilities and becomes a blue Frog with base power and toughness 1/1."
706,Reality Shift,"Exile target creature. Its controller manifests the top card of their library. (That player puts the top card of their library onto the battlefield face down as a 2/2 creature. If it's a creature card, it can be turned face up any time for its mana cost.)"
707,Relic Crush,Destroy target artifact or enchantment and up to one other target artifact or enchantment.
708,Cauldron Dance,"Cast this spell only during combat.
Return target creature card from your graveyard to the battlefield. That creature gains haste. Return it to your hand at the beginning of the next end step.
You may put a creature card from your hand onto the battlefield. That creature gains haste. Its controller sacrifices it at the beginning of the next end step."
709,Memory Plunder,You may cast target instant or sorcery card from an opponent's graveyard without paying its mana cost.
710,Silumgar's Command,"Choose two —
• Counter target noncreature spell.
• Return target permanent to its owner's hand.
• Target creature gets -3/-3 until end of turn.
• Destroy target planeswalker."
711,Fury Storm,"When you cast this spell, copy it for each time you've cast your commander from the command zone this game. You may choose new targets for the copies.
Copy target instant or sorcery spell. You may choose new targets for the copy."
712,Windgrace's Judgment,"For any number of opponents, destroy target nonland permanent that player controls."
713,Dismantling Blow,"Kicker {2}{U} (You may pay an additional {2}{U} as you cast this spell.)
Destroy target artifact or enchantment. If this spell was kicked, draw two cards."
714,Predict,"Choose a card name, then target player mills a card. If a card with the chosen name was milled this way, you draw two cards. Otherwise, you draw a card."
715,Moonlight Bargain,"Look at the top five cards of your library. For each card, put that card into your graveyard unless you pay 2 life. Then put the rest into your hand."
716,Consign to Dust,"Strive — This spell costs {2}{G} more to cast for each target beyond the first.
Destroy any number of target artifacts and/or enchantments."
717,Mandate of Peace,"Cast this spell only during combat.
Your opponents can't cast spells this turn.
End the combat phase. (Remove all attackers and blockers from combat. Exile all spells and abilities from the stack, including this spell.)"
718,Leadership Vacuum,"Target player returns each commander they control from the battlefield to the command zone.
Draw a card."
719,Sudden Substitution,"Split second (As long as this spell is on the stack, players can't cast spells or activate abilities that aren't mana abilities.)
Exchange control of target noncreature spell and target creature. Then the spell's controller may choose new targets for it."
720,Prismatic Strands,"Prevent all damage that sources of the color of your choice would deal this turn.
Flashback—Tap an untapped white creature you control. (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
721,Purify the Grave,"Exile target card from a graveyard.
Flashback {W} (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
722,Ray of Distortion,"Destroy target artifact or enchantment.
Flashback {4}{W}{W} (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
723,Rootborn Defenses,"Populate. Creatures you control gain indestructible until end of turn. (To populate, create a token that's a copy of a creature token you control.)"
724,Trostani's Judgment,"Exile target creature, then populate. (Create a token that's a copy of a creature token you control.)"
725,Chemister's Insight,"Draw two cards.
Jump-start (You may cast this card from your graveyard by discarding a card in addition to paying its other costs. Then exile this card.)"
726,Fervent Denial,"Counter target spell.
Flashback {5}{U}{U} (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
727,Oona's Grace,"Target player draws a card.
Retrace (You may cast this card from your graveyard by discarding a land card in addition to paying its other costs.)"
728,Think Twice,"Draw a card.
Flashback {2}{U} (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
729,Dark Withering,"Destroy target nonblack creature.
Madness {B} (If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)"
730,Fiery Temper,"Fiery Temper deals 3 damage to any target.
Madness {R} (If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)"
731,Increasing Vengeance,"Copy target instant or sorcery spell you control. If this spell was cast from a graveyard, copy that spell twice instead. You may choose new targets for the copies.
Flashback {3}{R}{R} (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
732,Violent Eruption,"Violent Eruption deals 4 damage divided as you choose among any number of targets.
Madness {1}{R}{R} (If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)"
733,Druid's Deliverance,Prevent all combat damage that would be dealt to you this turn. Populate. (Create a token that's a copy of a creature token you control.)
734,Momentous Fall,"As an additional cost to cast this spell, sacrifice a creature.
You draw cards equal to the sacrificed creature's power, then you gain life equal to its toughness."
735,Second Harvest,"For each token you control, create a token that's a copy of that permanent."
736,Biomass Mutation,Creatures you control have base power and toughness X/X until end of turn.
737,Sultai Charm,"Choose one —
• Destroy target monocolored creature.
• Destroy target artifact or enchantment.
• Draw two cards, then discard a card."
738,Sundering Growth,"Destroy target artifact or enchantment, then populate. (Create a token that's a copy of a creature token you control.)"
739,Call the Coppercoats,"Strive — This spell costs {1}{W} more to cast for each target beyond the first.
Choose any number of target opponents. Create X 1/1 white Human Soldier creature tokens, where X is the number of creatures those opponents control."
740,Flawless Maneuver,"If you control a commander, you may cast this spell without paying its mana cost.
Creatures you control gain indestructible until end of turn."
741,Decoy Gambit,"For each opponent, choose up to one target creature that player controls, then return that creature to its owner's hand unless its controller has you draw a card."
742,Fierce Guardianship,"If you control a commander, you may cast this spell without paying its mana cost.
Counter target noncreature spell."
743,Deadly Rollick,"If you control a commander, you may cast this spell without paying its mana cost.
Exile target creature."
744,Deflecting Swat,"If you control a commander, you may cast this spell without paying its mana cost.
You may choose new targets for target spell or ability."
745,Curious Herd,"Choose target opponent. You create X 3/3 green Beast creature tokens, where X is the number of artifacts that player controls."
746,Obscuring Haze,"If you control a commander, you may cast this spell without paying its mana cost.
Prevent all damage that would be dealt this turn by creatures your opponents control."
747,Frantic Search,"Draw two cards, then discard two cards. Untap up to three lands."
748,Evolution Charm,"Choose one —
• Search your library for a basic land card, reveal it, put it into your hand, then shuffle.
• Return target creature card from your graveyard to your hand.
• Target creature gains flying until end of turn."
749,Hunter's Insight,"Choose target creature you control. Whenever that creature deals combat damage to a player or planeswalker this turn, draw that many cards."
750,Hunting Pack,"Create a 4/4 green Beast creature token.
Storm (When you cast this spell, copy it for each spell cast before it this turn.)"
